+--------------+------+--------------+--------------+-----------------+
|      cc      | core |      cy      |      ds      |       ans       |
+--------------+------+--------------+--------------+-----------------+
| [0.99999994] | [1.] | [0.99999905] | [0.99999994] |       core      |
| [0.9999998]  | [1.] | [0.9999985]  | [0.9999998]  | cloud computing |
| [0.9999999]  | [1.] | [0.99999845] | [0.9999999]  |       core      |
|     [1.]     | [1.] | [0.9999989]  | [0.99999994] |  cyber security |
| [0.99999994] | [1.] | [0.9999986]  | [0.99999994] | cloud computing |
| [0.99999994] | [1.] | [0.99999917] | [0.99999994] |       core      |
| [0.99999994] | [1.] |  [0.999999]  | [0.99999994] |   data science  |
| [0.9999999]  | [1.] | [0.9999985]  | [0.9999999]  |       core      |
| [0.99999994] | [1.] | [0.99999875] | [0.9999999]  |       core      |
| [0.9999999]  | [1.] | [0.9999983]  | [0.9999999]  | cloud computing |
| [0.9999999]  | [1.] | [0.99999833] | [0.9999999]  | cloud computing |
|     [1.]     | [1.] | [0.9999995]  |     [1.]     |  cyber security |
| [0.9999998]  | [1.] | [0.99999815] | [0.9999998]  |  cyber security |
| [0.99999994] | [1.] | [0.9999989]  | [0.99999994] |       core      |
| [0.99999994] | [1.] | [0.9999989]  | [0.9999999]  | cloud computing |
| [0.9999998]  | [1.] | [0.9999983]  | [0.9999998]  | cloud computing |
|     [1.]     | [1.] | [0.9999993]  | [0.99999994] |   data science  |
| [0.99999994] | [1.] | [0.99999934] | [0.99999994] |  cyber security |
| [0.99999994] | [1.] | [0.9999988]  | [0.99999994] |       core      |
| [0.9999999]  | [1.] | [0.9999981]  | [0.9999999]  | cloud computing |
| [0.9999999]  | [1.] | [0.9999992]  | [0.99999994] |   data science  |
| [0.99999994] | [1.] | [0.9999993]  | [0.99999994] |   data science  |
|     [1.]     | [1.] | [0.9999993]  | [0.99999994] |  cyber security |
| [0.9999999]  | [1.] | [0.9999991]  | [0.99999994] |       core      |
| [0.9999999]  | [1.] | [0.9999988]  | [0.9999999]  |   data science  |
| [0.9999999]  | [1.] | [0.99999833] | [0.9999999]  | cloud computing |
|     [1.]     | [1.] | [0.99999887] |     [1.]     |   data science  |
| [0.99999994] | [1.] |  [0.999999]  | [0.99999994] |       core      |
|     [1.]     | [1.] | [0.99999917] | [0.99999994] |   data science  |
| [0.99999994] | [1.] | [0.99999875] | [0.9999999]  |  cyber security |
| [0.99999994] | [1.] | [0.9999985]  | [0.9999999]  |   data science  |
| [0.99999994] | [1.] | [0.9999992]  | [0.99999994] | cloud computing |
| [0.9999998]  | [1.] | [0.9999987]  | [0.9999999]  |  cyber security |
| [0.9999999]  | [1.] | [0.99999815] | [0.9999999]  | cloud computing |
| [0.9999999]  | [1.] | [0.9999985]  | [0.9999999]  |       core      |
| [0.99999994] | [1.] | [0.99999905] | [0.99999994] |  cyber security |
| [0.99999994] | [1.] | [0.9999991]  | [0.99999994] | cloud computing |
| [0.99999994] | [1.] | [0.9999988]  | [0.99999994] | cloud computing |
| [0.99999994] | [1.] | [0.9999988]  | [0.9999999]  |   data science  |
| [0.9999999]  | [1.] | [0.99999905] | [0.9999999]  |  cyber security |
| [0.99999994] | [1.] | [0.9999995]  | [0.9999999]  |  cyber security |
| [0.9999999]  | [1.] | [0.9999986]  | [0.9999999]  |  cyber security |
| [0.99999994] | [1.] | [0.9999992]  | [0.99999994] | cloud computing |
| [0.9999999]  | [1.] |  [0.999999]  | [0.99999994] |   data science  |
| [0.99999994] | [1.] | [0.99999976] |     [1.]     |  cyber security |
| [0.9999999]  | [1.] | [0.99999905] | [0.9999999]  |  cyber security |
| [0.99999994] | [1.] | [0.9999989]  | [0.99999994] |   data science  |
| [0.9999999]  | [1.] | [0.99999845] | [0.9999999]  |       core      |
| [0.99999994] | [1.] | [0.99999887] | [0.99999994] | cloud computing |
| [0.9999999]  | [1.] | [0.9999996]  | [0.99999994] |  cyber security |
| [0.9999999]  | [1.] | [0.9999984]  | [0.9999999]  |       core      |
|     [1.]     | [1.] | [0.99999964] |     [1.]     |   data science  |
|     [1.]     | [1.] | [0.99999934] |     [1.]     |   data science  |
|     [1.]     | [1.] | [0.99999934] | [0.9999999]  | cloud computing |
| [0.99999994] | [1.] |  [0.999999]  | [0.99999994] |       core      |
| [0.9999998]  | [1.] | [0.9999982]  | [0.9999999]  | cloud computing |
| [0.99999976] | [1.] | [0.99999803] | [0.9999998]  |       core      |
| [0.99999994] | [1.] |  [0.999999]  | [0.99999994] |       core      |
|     [1.]     | [1.] | [0.99999946] | [0.99999994] | cloud computing |
|     [1.]     | [1.] | [0.9999995]  | [0.99999994] |  cyber security |
| [0.9999998]  | [1.] | [0.9999982]  | [0.9999999]  | cloud computing |
| [0.9999999]  | [1.] | [0.9999983]  | [0.9999998]  |       core      |
| [0.9999999]  | [1.] | [0.9999989]  | [0.9999999]  |  cyber security |
| [0.99999994] | [1.] | [0.99999976] |     [1.]     |  cyber security |
| [0.9999999]  | [1.] | [0.99999887] | [0.9999999]  |  cyber security |
|     [1.]     | [1.] | [0.99999964] |     [1.]     |  cyber security |
| [0.99999994] | [1.] | [0.9999987]  | [0.9999999]  |   data science  |
| [0.9999999]  | [1.] | [0.99999905] | [0.99999994] |       core      |
|     [1.]     | [1.] | [0.9999994]  |     [1.]     | cloud computing |
| [0.9999998]  | [1.] | [0.9999981]  | [0.9999998]  |       core      |
|     [1.]     | [1.] | [0.99999964] |     [1.]     | cloud computing |
| [0.99999994] | [1.] |  [0.999999]  | [0.9999999]  |       core      |
| [0.9999999]  | [1.] | [0.99999875] | [0.9999999]  |       core      |
| [0.99999994] | [1.] | [0.99999875] | [0.9999999]  |   data science  |
| [0.9999999]  | [1.] | [0.9999981]  | [0.9999999]  | cloud computing |
|     [1.]     | [1.] | [0.99999917] | [0.99999994] |  cyber security |
| [0.99999994] | [1.] | [0.99999917] | [0.99999994] |   data science  |
| [0.9999999]  | [1.] | [0.9999985]  | [0.9999998]  |       core      |
| [0.99999994] | [1.] | [0.99999946] |     [1.]     |   data science  |
| [0.9999999]  | [1.] | [0.99999833] | [0.9999999]  |       core      |
| [0.9999999]  | [1.] | [0.9999986]  | [0.9999999]  | cloud computing |
| [0.99999994] | [1.] | [0.9999988]  | [0.9999999]  | cloud computing |
| [0.9999998]  | [1.] | [0.99999845] | [0.9999998]  |  cyber security |
| [0.9999999]  | [1.] | [0.9999985]  | [0.9999999]  |       core      |
|     [1.]     | [1.] |  [0.999999]  | [0.99999994] |   data science  |
| [0.9999999]  | [1.] | [0.9999992]  | [0.99999994] |   data science  |
| [0.9999998]  | [1.] | [0.9999981]  | [0.9999998]  |       core      |
| [0.9999999]  | [1.] | [0.99999875] | [0.99999994] |   data science  |
| [0.99999994] | [1.] | [0.9999988]  | [0.9999999]  | cloud computing |
| [0.9999998]  | [1.] | [0.9999982]  | [0.9999998]  |       core      |
| [0.99999994] | [1.] | [0.9999993]  | [0.99999994] |       core      |
| [0.9999998]  | [1.] | [0.99999803] | [0.9999998]  |       core      |
| [0.99999994] | [1.] | [0.99999917] | [0.99999994] |       core      |
| [0.99999994] | [1.] | [0.99999917] | [0.9999999]  |  cyber security |
| [0.99999994] | [1.] | [0.99999875] | [0.9999999]  |       core      |
| [0.99999994] | [1.] | [0.99999887] | [0.9999999]  |   data science  |
|     [1.]     | [1.] | [0.9999995]  | [0.99999994] |  cyber security |
| [0.9999999]  | [1.] | [0.99999845] | [0.9999998]  | cloud computing |
|     [1.]     | [1.] | [0.99999917] | [0.99999994] |       core      |
|     [1.]     | [1.] | [0.9999993]  | [0.9999999]  | cloud computing |
| [0.99999994] | [1.] | [0.99999875] | [0.99999994] |       core      |
|     [1.]     | [1.] | [0.99999964] |     [1.]     |  cyber security |
| [0.99999994] | [1.] | [0.99999905] | [0.9999999]  |       core      |
| [0.9999999]  | [1.] | [0.9999988]  | [0.9999999]  |   data science  |
| [0.99999994] | [1.] | [0.99999887] | [0.99999994] |       core      |
| [0.9999999]  | [1.] | [0.9999987]  | [0.9999998]  | cloud computing |
| [0.9999999]  | [1.] | [0.9999986]  | [0.9999998]  |       core      |
| [0.9999999]  | [1.] | [0.9999987]  | [0.9999998]  | cloud computing |
| [0.99999994] | [1.] | [0.9999993]  | [0.9999999]  |  cyber security |
| [0.99999994] | [1.] | [0.99999857] | [0.9999999]  |   data science  |
| [0.99999994] | [1.] |  [0.999999]  | [0.9999999]  |   data science  |
| [0.9999999]  | [1.] | [0.9999987]  | [0.9999999]  |   data science  |
| [0.99999994] | [1.] | [0.99999934] | [0.9999999]  |  cyber security |
| [0.9999999]  | [1.] | [0.99999917] |     [1.]     |   data science  |
| [0.99999994] | [1.] | [0.99999934] | [0.99999994] |  cyber security |
| [0.99999994] | [1.] | [0.9999994]  |     [1.]     |   data science  |
| [0.99999994] | [1.] | [0.99999875] | [0.9999999]  |  cyber security |
| [0.9999999]  | [1.] | [0.9999986]  | [0.9999999]  |       core      |
| [0.9999999]  | [1.] | [0.9999987]  | [0.9999998]  | cloud computing |
|     [1.]     | [1.] | [0.9999994]  | [0.99999994] |  cyber security |
| [0.9999999]  | [1.] | [0.9999996]  | [0.99999994] |  cyber security |
